Código da Emenda;Ano da Emenda;Nome do Autor da Emenda;Número da emenda;Valor Empenhado;Valor Pago;Tipo de Emenda;Data Documento;Município de aplicação do recurso;Código IBGE do município de aplicação do recurso;Fase da despesa;Favorecido;Órgão Superior;Grupo Despesa;Elemento Despesa;Função;SubFunção;Ação;Possui convênio?
202040360003;2020;LUIZ PHILIPPE DE ORLEANS E BRAGANCA;0003;50000.0;0.0;Emenda Individual - Transferências com Finalidade Definida;01/04/2020;FERRAZ DE VASCONCELOS;3515707;Empenho;FUNDO MUNICIPAL DE SAUDE;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Saúde;Atenção básica;INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;NÃO
202081001503;2020;RELATOR GERAL;1503;0.0;0.0;Emenda de Relator;31/12/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;Sem informação;Ministério da Educação;Múltiplo;Múltiplo;Múltiplo;Múltiplo;Múltiplo;NÃO
202081001433;2020;RELATOR GERAL;1433;0.0;0.0;Emenda de Relator;31/12/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;Sem informação;Ministério da Educação;Múltiplo;Múltiplo;Múltiplo;Múltiplo;Múltiplo;NÃO
202023560008;2020;ARNALDO JARDIM;0008;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;28/12/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Investimentos;Auxílios;Múltiplo;Múltiplo;Múltiplo;NÃO
202023560008;2020;ARNALDO JARDIM;0008;0.0;149995.0;Emenda Individual - Transferências com Finalidade Definida;28/12/2020;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Investimentos;Auxílios;Múltiplo;Múltiplo;Múltiplo;NÃO
202031350002;2020;ARLINDO CHINAGLIA;0002;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;29/04/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202031350002;2020;ARLINDO CHINAGLIA;0002;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;30/04/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202031350002;2020;ARLINDO CHINAGLIA;0002;0.0;100000.0;Emenda Individual - Transferências com Finalidade Definida;30/04/2020;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202031350002;2020;ARLINDO CHINAGLIA;0002;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;29/04/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202040360003;2020;LUIZ PHILIPPE DE ORLEANS E BRAGANCA;0003;0.0;50000.0;Emenda Individual - Transferências com Finalidade Definida;08/04/2020;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202040360003;2020;LUIZ PHILIPPE DE ORLEANS E BRAGANCA;0003;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;08/04/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202041260002;2020;POLICIAL KATIA SASTRE;0002;0.0;200000.0;Emenda Individual - Transferências com Finalidade Definida;30/04/2020;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
